Name,Age,Hometown,Occupation,Number of Roses,Final Position
Contestant_616,23,New York,Chef,15,9
Contestant_617,27,Boston,Actor,2,6
Contestant_618,23,Seattle,Teacher,1,9
Contestant_619,34,Seattle,Nurse,11,8
Contestant_620,32,New York,Engineer,10,7
Contestant_621,32,Los Angeles,Chef,18,1
Contestant_622,37,Boston,Nurse,18,3
Contestant_623,32,Chicago,Actor,17,2
Contestant_624,36,San Francisco,Doctor,8,5
Contestant_625,37,Chicago,Actor,15,5
Contestant_626,32,New York,Entrepreneur,8,5
Contestant_627,37,Houston,Teacher,17,4
Contestant_628,29,Boston,Artist,12,5
Contestant_629,25,Atlanta,Actor,8,3
Contestant_630,29,Miami,Designer,14,1
Contestant_631,25,San Francisco,Artist,4,5
Contestant_632,24,Atlanta,Artist,1,9
Contestant_633,24,Atlanta,Teacher,1,9
Contestant_634,39,Boston,Teacher,19,4
Contestant_635,26,Houston,Engineer,16,3
Contestant_636,39,Boston,Entrepreneur,14,1
Contestant_637,31,Houston,Engineer,16,2
Contestant_638,27,Los Angeles,Nurse,5,8
Contestant_639,22,San Francisco,Nurse,9,1
Contestant_640,26,New York,Nurse,2,8
Contestant_641,30,Denver,Doctor,18,7
Contestant_642,33,New York,Actor,6,8
Contestant_643,35,Atlanta,Athlete,9,6
Contestant_644,23,Miami,Teacher,1,9
Contestant_645,38,Los Angeles,Athlete,9,3
Contestant_646,35,New York,Chef,16,10
Contestant_647,34,New York,Teacher,13,4
Contestant_648,30,Miami,Teacher,9,6
Contestant_649,36,Miami,Teacher,13,8
Contestant_650,36,New York,Athlete,9,5
Contestant_651,32,Seattle,Teacher,11,3
Contestant_652,37,Chicago,Designer,4,6
Contestant_653,38,Miami,Doctor,2,4
Contestant_654,25,Chicago,Chef,6,9
Contestant_655,22,San Francisco,Actor,14,3
Contestant_656,29,Los Angeles,Artist,4,4
Contestant_657,38,Seattle,Designer,6,7
Contestant_658,24,Miami,Athlete,19,7
Contestant_659,36,San Francisco,Entrepreneur,6,4
Contestant_660,36,Houston,Designer,2,6
Contestant_661,35,Atlanta,Artist,18,3
Contestant_662,35,Chicago,Nurse,13,6
Contestant_663,23,Seattle,Artist,9,2
Contestant_664,34,Seattle,Entrepreneur,19,8
Contestant_665,35,Los Angeles,Designer,13,2
Contestant_666,28,Chicago,Artist,11,7
Contestant_667,24,Houston,Actor,1,9
Contestant_668,36,Los Angeles,Athlete,7,1
Contestant_669,35,Seattle,Designer,15,8
Contestant_670,32,New York,Designer,1,7
Contestant_671,36,Houston,Entrepreneur,12,6
Contestant_672,34,Seattle,Chef,7,6
Contestant_673,39,Boston,Nurse,15,6
Contestant_674,27,Boston,Nurse,19,9
Contestant_675,24,Miami,Chef,1,2
Contestant_676,36,Los Angeles,Teacher,17,1
Contestant_677,26,Seattle,Artist,17,6
Contestant_678,31,Miami,Athlete,3,10
Contestant_679,28,Los Angeles,Teacher,12,8
Contestant_680,38,Houston,Entrepreneur,6,3
Contestant_681,28,Seattle,Doctor,11,10
Contestant_682,33,Los Angeles,Designer,3,1
Contestant_683,38,Seattle,Actor,8,9
Contestant_684,34,New York,Nurse,14,1
Contestant_685,25,Atlanta,Engineer,14,3
Contestant_686,31,Denver,Nurse,10,8
Contestant_687,24,Boston,Engineer,2,3
Contestant_688,30,Atlanta,Entrepreneur,14,4
Contestant_689,34,Los Angeles,Engineer,9,8
Contestant_690,39,Denver,Teacher,3,1
Contestant_691,36,Atlanta,Entrepreneur,8,6
Contestant_692,25,New York,Designer,16,1
Contestant_693,36,Boston,Nurse,2,1
Contestant_694,23,San Francisco,Teacher,6,8
Contestant_695,36,Los Angeles,Chef,12,4
Contestant_696,29,Boston,Engineer,5,1
Contestant_697,29,Atlanta,Artist,2,10
Contestant_698,38,San Francisco,Designer,16,7
Contestant_699,33,Chicago,Actor,5,5
Contestant_700,31,Boston,Doctor,15,5
Contestant_701,30,Chicago,Chef,12,1
Contestant_702,26,Denver,Doctor,4,10
Contestant_703,27,Houston,Chef,15,6
Contestant_704,23,Seattle,Nurse,11,9
Contestant_705,34,Denver,Actor,16,9
Contestant_706,27,San Francisco,Artist,6,8
Contestant_707,26,San Francisco,Chef,14,5
Contestant_708,22,Boston,Engineer,18,1
Contestant_709,27,Seattle,Actor,12,9
Contestant_710,27,Houston,Artist,11,1
Contestant_711,37,Atlanta,Doctor,13,8
Contestant_712,25,Miami,Actor,11,5
Contestant_713,32,Los Angeles,Engineer,16,3
Contestant_714,30,Houston,Actor,15,7
Contestant_715,24,San Francisco,Teacher,15,7
Contestant_716,29,Miami,Teacher,4,9
Contestant_717,26,San Francisco,Doctor,11,7
Contestant_718,25,Seattle,Entrepreneur,19,3
Contestant_719,27,Seattle,Designer,15,1
Contestant_720,23,Boston,Teacher,4,8
Contestant_721,32,Atlanta,Designer,13,3
Contestant_722,25,New York,Designer,19,8
Contestant_723,36,San Francisco,Athlete,2,8
Contestant_724,27,Atlanta,Doctor,14,5
Contestant_725,38,Chicago,Engineer,4,1
Contestant_726,27,San Francisco,Doctor,16,10
Contestant_727,23,Miami,Entrepreneur,14,7
Contestant_728,36,Atlanta,Artist,15,10
Contestant_729,32,Houston,Teacher,3,5
Contestant_730,29,Atlanta,Nurse,8,8
Contestant_731,34,Houston,Athlete,16,9
Contestant_732,33,Seattle,Nurse,10,7
Contestant_733,26,Houston,Chef,4,7
Contestant_734,27,Denver,Engineer,18,1
Contestant_735,25,New York,Entrepreneur,2,4
Contestant_736,22,Denver,Artist,17,2
Contestant_737,38,Miami,Entrepreneur,13,2
Contestant_738,33,Los Angeles,Engineer,4,2
Contestant_739,36,Miami,Doctor,11,4
Contestant_740,22,Boston,Artist,7,1
Contestant_741,35,San Francisco,Chef,12,4
Contestant_742,27,Denver,Athlete,10,2
Contestant_743,26,Miami,Designer,7,5
Contestant_744,32,San Francisco,Engineer,13,3
Contestant_745,25,San Francisco,Engineer,7,8
Contestant_746,34,San Francisco,Designer,17,4
Contestant_747,32,New York,Athlete,10,1
Contestant_748,24,Los Angeles,Nurse,10,1
Contestant_749,22,Houston,Doctor,4,10
Contestant_750,27,Miami,Nurse,4,3
Contestant_751,39,Boston,Athlete,7,9
Contestant_752,31,Miami,Artist,1,7
Contestant_753,26,Houston,Teacher,12,2
Contestant_754,31,Seattle,Entrepreneur,13,9
Contestant_755,33,Atlanta,Chef,10,10
Contestant_756,23,San Francisco,Doctor,15,2
Contestant_757,34,Denver,Athlete,13,3
Contestant_758,29,Denver,Actor,9,10
Contestant_759,23,Atlanta,Artist,9,2
Contestant_760,22,Boston,Athlete,15,3
Contestant_761,26,Denver,Chef,10,6
Contestant_762,30,Atlanta,Teacher,10,9
Contestant_763,38,Atlanta,Engineer,8,9
Contestant_764,30,San Francisco,Nurse,16,7
Contestant_765,32,Houston,Actor,17,3
Contestant_766,36,Houston,Engineer,5,4
Contestant_767,27,Houston,Nurse,4,6
Contestant_768,24,Miami,Nurse,18,5
Contestant_769,38,Los Angeles,Nurse,19,2
Contestant_770,26,Miami,Nurse,4,6
Contestant_771,33,Atlanta,Nurse,7,3
Contestant_772,39,Los Angeles,Doctor,10,8
Contestant_773,35,Denver,Chef,18,2
Contestant_774,32,Chicago,Designer,19,1
Contestant_775,30,Miami,Doctor,4,9
Contestant_776,23,Miami,Chef,10,3
Contestant_777,33,San Francisco,Actor,1,1
Contestant_778,24,Houston,Entrepreneur,18,7
Contestant_779,24,Seattle,Doctor,5,10
Contestant_780,22,Denver,Actor,15,5
Contestant_781,29,Seattle,Engineer,17,5
Contestant_782,29,Houston,Actor,3,1
Contestant_783,32,Los Angeles,Artist,12,9
Contestant_784,30,Miami,Engineer,2,7
Contestant_785,26,Houston,Athlete,1,8
Contestant_786,35,Miami,Actor,17,9
Contestant_787,24,Atlanta,Teacher,16,6
Contestant_788,26,Chicago,Doctor,5,5
Contestant_789,26,Houston,Actor,15,6
Contestant_790,35,New York,Nurse,3,2
Contestant_791,25,Denver,Actor,7,4
Contestant_792,34,Chicago,Teacher,11,3
Contestant_793,31,Houston,Designer,10,7
Contestant_794,39,New York,Designer,9,9
Contestant_795,29,New York,Teacher,14,5
Contestant_796,29,Denver,Teacher,13,6
Contestant_797,28,Houston,Engineer,2,10
Contestant_798,29,Chicago,Designer,3,2
Contestant_799,35,San Francisco,Doctor,7,3
Contestant_800,27,Los Angeles,Entrepreneur,18,3
Contestant_801,22,New York,Artist,3,9
Contestant_802,36,Seattle,Doctor,10,7
Contestant_803,22,Houston,Artist,7,8
Contestant_804,38,San Francisco,Doctor,9,10
Contestant_805,22,San Francisco,Actor,17,9
Contestant_806,36,San Francisco,Entrepreneur,11,6
Contestant_807,23,Atlanta,Nurse,7,4
Contestant_808,35,Chicago,Chef,14,1
Contestant_809,29,New York,Nurse,19,8
Contestant_810,29,Houston,Designer,4,7
Contestant_811,28,San Francisco,Entrepreneur,6,2
Contestant_812,27,Los Angeles,Doctor,10,8
Contestant_813,27,Los Angeles,Artist,7,5
Contestant_814,24,Boston,Entrepreneur,13,7
Contestant_815,28,San Francisco,Actor,14,4
Contestant_816,29,Los Angeles,Doctor,4,5
Contestant_817,31,Seattle,Actor,8,8
Contestant_818,36,New York,Entrepreneur,5,1
Contestant_819,36,Chicago,Engineer,1,1
Contestant_820,22,Chicago,Actor,4,4
Contestant_821,28,Seattle,Chef,3,3
Contestant_822,25,Houston,Chef,9,10
Contestant_823,27,Los Angeles,Designer,8,2
Contestant_824,22,Miami,Chef,1,3
Contestant_825,26,Los Angeles,Actor,6,1
Contestant_826,22,Denver,Teacher,9,1
Contestant_827,25,Boston,Designer,7,6
Contestant_828,23,Seattle,Designer,4,5
Contestant_829,31,Seattle,Actor,13,8
Contestant_830,26,Seattle,Nurse,17,2
Contestant_831,31,Miami,Entrepreneur,2,4
Contestant_832,22,Denver,Engineer,5,8
Contestant_833,27,Boston,Chef,12,6
Contestant_834,34,San Francisco,Engineer,8,1
Contestant_835,36,San Francisco,Chef,6,4
Contestant_836,25,Houston,Athlete,8,1
Contestant_837,34,Seattle,Teacher,18,2
Contestant_838,36,Boston,Nurse,3,5
Contestant_839,29,Houston,Entrepreneur,12,8
Contestant_840,26,Seattle,Actor,3,8
Contestant_841,36,Seattle,Engineer,6,3
Contestant_842,25,New York,Engineer,2,4
Contestant_843,33,Seattle,Actor,12,10
Contestant_844,34,Los Angeles,Entrepreneur,2,6
Contestant_845,23,Miami,Entrepreneur,6,10
Contestant_846,25,Miami,Designer,17,3
Contestant_847,25,Houston,Athlete,3,2
Contestant_848,32,Los Angeles,Chef,2,6
Contestant_849,26,Chicago,Teacher,8,5
Contestant_850,32,Miami,Designer,12,10
Contestant_851,31,Chicago,Actor,4,5
Contestant_852,29,Denver,Designer,5,10
Contestant_853,27,Los Angeles,Doctor,13,5
Contestant_854,27,Chicago,Actor,15,10
Contestant_855,29,New York,Athlete,16,5
Contestant_856,36,Boston,Chef,10,3
Contestant_857,35,San Francisco,Entrepreneur,16,7
Contestant_858,32,Seattle,Doctor,12,6
Contestant_859,33,San Francisco,Engineer,17,4
Contestant_860,34,Houston,Chef,16,2
Contestant_861,29,New York,Actor,12,9
Contestant_862,39,Miami,Nurse,8,1
Contestant_863,22,Houston,Teacher,3,4
Contestant_864,36,Houston,Doctor,16,1
Contestant_865,29,San Francisco,Teacher,13,6
Contestant_866,32,Los Angeles,Athlete,19,4
Contestant_867,33,Miami,Designer,8,5
Contestant_868,33,Houston,Doctor,5,5
Contestant_869,25,Seattle,Teacher,8,9
Contestant_870,37,Miami,Engineer,12,1
Contestant_871,25,Boston,Artist,1,2
Contestant_872,26,Los Angeles,Actor,6,6
Contestant_873,26,Denver,Actor,18,5
Contestant_874,29,Miami,Chef,8,7
Contestant_875,31,Chicago,Athlete,7,3
Contestant_876,38,Houston,Doctor,1,3
Contestant_877,30,Chicago,Athlete,16,10
Contestant_878,35,Los Angeles,Teacher,12,2
Contestant_879,29,New York,Designer,6,3
Contestant_880,30,Chicago,Actor,2,10
Contestant_881,32,Houston,Actor,14,1
Contestant_882,22,Seattle,Designer,4,5
Contestant_883,35,Seattle,Engineer,1,5
Contestant_884,26,Houston,Athlete,18,7
Contestant_885,35,San Francisco,Teacher,13,4
Contestant_886,25,Los Angeles,Nurse,2,3
Contestant_887,22,San Francisco,Actor,9,1
Contestant_888,29,Houston,Chef,2,8
Contestant_889,36,Boston,Actor,9,3
Contestant_890,36,Houston,Entrepreneur,1,2
Contestant_891,30,Denver,Artist,11,4
Contestant_892,30,Denver,Engineer,3,3
Contestant_893,31,San Francisco,Doctor,4,1
Contestant_894,30,San Francisco,Teacher,18,3
Contestant_895,24,Los Angeles,Designer,6,2
Contestant_896,32,Seattle,Nurse,3,8
Contestant_897,27,New York,Chef,11,6
Contestant_898,23,Boston,Nurse,15,9
Contestant_899,28,Atlanta,Engineer,5,8
Contestant_900,39,Seattle,Entrepreneur,10,10
Contestant_901,23,Houston,Entrepreneur,12,3
Contestant_902,38,New York,Designer,15,5
Contestant_903,32,Los Angeles,Artist,17,7
Contestant_904,33,Miami,Athlete,10,5
Contestant_905,28,Seattle,Entrepreneur,6,8
Contestant_906,27,Seattle,Designer,18,5
Contestant_907,22,New York,Artist,13,1
Contestant_908,38,Houston,Engineer,3,5
Contestant_909,32,Seattle,Teacher,10,4
Contestant_910,39,New York,Engineer,14,6
Contestant_911,38,Chicago,Designer,6,3
Contestant_912,28,San Francisco,Teacher,3,5
Contestant_913,38,Denver,Designer,16,2
Contestant_914,30,San Francisco,Engineer,7,6
Contestant_915,38,Houston,Actor,14,6
Contestant_916,29,Chicago,Actor,9,5
Contestant_917,38,Seattle,Engineer,15,6
Contestant_918,28,Boston,Nurse,3,7
Contestant_919,22,San Francisco,Nurse,2,5
Contestant_920,34,Los Angeles,Entrepreneur,2,1
Contestant_921,38,San Francisco,Entrepreneur,3,8
Contestant_922,34,Atlanta,Teacher,18,4
Contestant_923,37,Boston,Teacher,14,9
Contestant_924,29,Atlanta,Actor,18,10
Contestant_925,39,Atlanta,Nurse,10,6
Contestant_926,22,Los Angeles,Artist,2,1
Contestant_927,35,Chicago,Engineer,1,3
Contestant_928,36,Atlanta,Artist,4,3
Contestant_929,39,Boston,Teacher,14,10
Contestant_930,23,San Francisco,Artist,1,4
Contestant_931,38,Houston,Designer,14,6
Contestant_932,39,Boston,Doctor,16,7
Contestant_933,27,Denver,Actor,14,10
Contestant_934,25,New York,Nurse,3,4
Contestant_935,22,San Francisco,Athlete,3,6
Contestant_936,29,Los Angeles,Actor,9,1
Contestant_937,28,Atlanta,Designer,6,8
Contestant_938,24,Houston,Nurse,13,7
Contestant_939,31,Atlanta,Teacher,2,9
Contestant_940,31,Los Angeles,Athlete,8,3
Contestant_941,35,Boston,Engineer,2,2
Contestant_942,23,Denver,Engineer,4,1
Contestant_943,22,New York,Entrepreneur,15,3
Contestant_944,39,Denver,Chef,4,5
Contestant_945,28,San Francisco,Designer,13,2
Contestant_946,29,Boston,Nurse,12,3
Contestant_947,22,New York,Chef,13,4
Contestant_948,24,Miami,Chef,14,7
Contestant_949,29,Denver,Athlete,18,3
Contestant_950,36,Atlanta,Engineer,6,9
Contestant_951,26,Seattle,Teacher,11,8
Contestant_952,24,San Francisco,Actor,2,4
Contestant_953,22,San Francisco,Engineer,19,1
Contestant_954,36,New York,Designer,19,1
Contestant_955,29,Miami,Designer,5,1
Contestant_956,23,Houston,Nurse,19,1
Contestant_957,24,Denver,Actor,2,8
Contestant_958,35,Chicago,Teacher,10,3
Contestant_959,35,Houston,Nurse,2,6
Contestant_960,32,San Francisco,Athlete,11,3
Contestant_961,37,San Francisco,Teacher,18,5
Contestant_962,25,Los Angeles,Teacher,15,7
Contestant_963,26,New York,Chef,9,2
Contestant_964,35,Seattle,Nurse,19,6
Contestant_965,37,Miami,Doctor,9,6
Contestant_966,39,Chicago,Engineer,3,3
Contestant_967,28,Houston,Nurse,9,6
Contestant_968,31,Denver,Teacher,14,10
Contestant_969,28,New York,Entrepreneur,19,10
Contestant_970,22,Denver,Teacher,7,5
Contestant_971,37,Boston,Teacher,16,2
Contestant_972,25,Los Angeles,Actor,16,9
Contestant_973,39,Miami,Artist,1,8
Contestant_974,23,Los Angeles,Actor,4,3
Contestant_975,22,San Francisco,Nurse,4,8
Contestant_976,36,Los Angeles,Entrepreneur,7,9
Contestant_977,26,Chicago,Engineer,8,3
Contestant_978,32,San Francisco,Entrepreneur,17,3
Contestant_979,31,Houston,Artist,5,2
Contestant_980,23,Denver,Nurse,7,8
Contestant_981,24,Houston,Entrepreneur,4,10
Contestant_982,33,Boston,Teacher,6,1
Contestant_983,26,San Francisco,Entrepreneur,7,8
Contestant_984,26,San Francisco,Athlete,18,7
Contestant_985,27,Miami,Nurse,5,7
Contestant_986,30,San Francisco,Engineer,3,3
Contestant_987,23,Denver,Nurse,7,1
Contestant_988,33,Chicago,Teacher,14,4
Contestant_989,24,Boston,Athlete,7,9
Contestant_990,33,Miami,Athlete,5,5
Contestant_991,38,Seattle,Teacher,5,1
Contestant_992,31,Denver,Teacher,2,5
Contestant_993,35,Chicago,Athlete,6,8
Contestant_994,38,Los Angeles,Athlete,15,8
Contestant_995,39,Houston,Actor,10,5
Contestant_996,38,Boston,Athlete,7,9
Contestant_997,35,Atlanta,Doctor,5,1
Contestant_998,30,Denver,Doctor,1,4
Contestant_999,29,Houston,Engineer,13,3
Contestant_1000,23,New York,Doctor,18,2
